rank,name,code,price,24_H_change,24H_volume,market_cap
101,renBTC,RENBTC,"$39,978.32",-5.01%,$10.62 M,$649.48 M
102,Ravencoin,RVN,$0.06142,-5.36%,$35.82 M,$635.96 M
1,Bitcoin,BTC,"$40,393.78",-4.48%,$26.39 B,$761.85 B
51,Gala,GALA,$0.301,-6.46%,$1.30 B,$2.07 B
103,Bancor,BNT,$2.43,-5.83%,$16.08 M,$615.33 M
2,Ethereum,ETH,"$2,818.44",-6.31%,$15.62 B,$334.77 B
350,SOMESING,SSX,$0.04415,-5.51%,$2.81 M,$116.26 M
52,Aave,AAVE,$147.64,-8.94%,$227.03 M,$1.97 B
151,Flux,FLUX,$1.54,-5.64%,$27.89 M,$348.49 M
300,Akash Network,AKT,$1.37,-7.76%,$1.60 M,$156.35 M
251,JOE,JOE,$1.18,-3.56%,$14.47 M,$198.92 M
201,HEX,HEX,$0.1846,-2.70%,$32.70 M,$32.02 B
104,WAX,WAXP,$0.317,-6.54%,$38.47 M,$612.07 M
499,KeeperDAO,ROOK,$97.65,-8.04%,"$576,166.37",$60.31 M
3,Tether,USDT,$1.01,-0.00%,$58.35 B,$78.73 B
351,Mines of Dalarnia,DAR,$0.9524,-6.38%,$70.18 M,$115.57 M
53,The Graph,GRT,$0.4224,-10.18%,$121.82 M,$1.97 B
152,NuCypher,NU,$0.492,-4.71%,$43.91 M,$344.07 M
301,Wilder World,WILD,$1.86,-8.70%,$4.05 M,$155.99 M
252,Reef,REEF,$0.01087,-6.68%,$38.54 M,$198.76 M
202,Lido stETH,STETH,"$2,792.40",-5.87%,"$488,326.86",$5.29 B
105,OMG Network,OMG,$4.38,-5.23%,$182.38 M,$608.56 M
500,FLETA,FLETA,$0.03849,-5.23%,$3.79 M,$60.15 M
450,Efinity Token,EFI,$0.4366,-4.60%,$12.39 M,$72.85 M
400,Bonfida,FIDA,$2.04,-6.64%,$7.47 M,$91.35 M
4,BNB,BNB,$396.40,-4.14%,$1.69 B,$65.65 B
352,e-Radix,EXRD,$0.1569,-5.75%,$1.77 M,$115.29 M
54,Harmony,ONE,$0.1706,-8.29%,$154.49 M,$1.97 B
153,Golem,GLM,$0.3444,-6.45%,$4.32 M,$341.88 M
302,Beta Finance,BETA,$0.5235,-6.56%,$51.11 M,$155.75 M
253,Mdex,MDX,$0.232,-6.47%,$7.77 M,$197.40 M
203,Toncoin,TONCOIN,$2.42,-3.70%,$3.76 M,$2.95 B
106,Velas,VLX,$0.2664,-4.93%,$9.31 M,$603.23 M
501,Position Exchange,POSI,$2.05,+7.00%,$39.64 M,$59.75 M
451,ankrETH,aEth,"$2,482.76",-5.36%,"$240,664.94",$72.82 M
401,Celo Dollar,CUSD,$0.9967,+0.47%,$1.48 M,$91.26 M
5,USD Coin,USDC,$1.00,-0.01%,$3.94 B,$52.48 B
353,Merit Circle,MC,$2.70,-6.21%,$20.74 M,$115.05 M
55,BitTorrent (New),BTT,$0.000002041,-3.51%,$40.41 M,$1.90 B
154,Moonbeam,GLMR,$4.04,-13.20%,$50.76 M,$339.44 M
303,Mask Network,MASK,$5.38,-7.55%,$33.40 M,$154.60 M
254,Orbs,ORBS,$0.06801,-5.34%,$2.66 M,$195.64 M
204,Frax,FRAX,$0.998,+0.01%,$21.25 M,$2.65 B
107,Ankr,ANKR,$0.07283,-6.46%,$32.47 M,$586.51 M
696,SIDUS HEROES,SIDUS,$0.05072,-5.51%,$1.80 M,$27.69 M
502,Vega Protocol,VEGA,$5.06,-4.45%,$1.86 M,$59.67 M
452,Phala Network,PHA,$0.2669,-4.14%,$9.97 M,$72.59 M
402,MimbleWimbleCoin,MWC,$8.43,-2.33%,"$210,944.66",$91.20 M
6,XRP,XRP,$0.7741,-4.77%,$3.11 B,$36.80 B
354,Venus ETH,vETH,$56.54,-5.80%,N/A,$115.00 M
56,Maker,MKR,"$1,943.51",-4.92%,$46.62 M,$1.88 B
155,Ultra,UOS,$1.20,-8.41%,$15.89 M,$339.11 M
304,Augur,REP,$14.16,-4.18%,$31.44 M,$153.80 M
255,Dvision Network,DVI,$0.6399,-4.94%,"$971,852.88",$195.35 M
205,Osmosis,OSMO,$8.86,-3.55%,$79.27 M,$2.50 B
108,Render Token,RNDR,$2.79,-7.90%,$55.91 M,$585.34 M
697,Bread,BRD,$0.3084,+6.98%,$3.71 M,$27.41 M
792,Jupiter,JUP,$0.02247,-12.03%,"$468,272.93",$19.39 M
548,district0x,DNT,$0.08075,-11.64%,$34.26 M,$48.45 M
647,AMO Coin,AMO,$0.001728,-4.87%,"$588,785.73",$33.13 M
887,Goldfinch,GFI,$2.67,-7.97%,$1.06 M,$13.52 M
597,Mirrored iShares Gold Trust,mIAU,$35.57,-0.36%,"$611,196.80",$39.97 M
745,Wing Finance,WING,$10.16,-3.48%,$18.36 M,$23.65 M
840,Signata,SATA,$0.4374,-9.35%,"$378,484.54",$15.90 M
503,TokenPocket,TPT,$0.01699,-0.74%,"$490,772.30",$58.91 M
453,Ethernity Chain,ERN,$5.55,-9.84%,$44.50 M,$72.39 M
403,Biswap,BSW,$0.4742,-8.02%,$10.11 M,$90.66 M
7,Cardano,ADA,$1.02,-4.29%,$1.28 B,$33.88 B
355,Sport and Leisure,SNL,$0.1694,-2.90%,"$489,490.77",$114.97 M
57,Neo,NEO,$26.34,+5.99%,$581.92 M,$1.83 B
156,Ocean Protocol,OCEAN,$0.5529,-6.02%,$29.63 M,$335.03 M
305,Orion Protocol,ORN,$3.78,-8.10%,$9.40 M,$153.39 M
256,Alchemy Pay,ACH,$0.04839,-11.46%,$55.72 M,$195.33 M
206,BitTorrent,BTTOLD,$0.00201,-2.86%,"$136,634.26",$1.99 B
109,Audius,AUDIO,$0.9559,-7.79%,$25.64 M,$577.23 M
697,JustLiquidity,JUL,$45.31,+523.65%,N/A,$25.58 M
793,Router Protocol,ROUTE,$2.99,-7.94%,$3.74 M,$19.28 M
549,Shyft Network,SHFT,$0.3298,-11.98%,"$205,135.49",$48.26 M
648,Bytecoin,BCN,$0.0001794,+0.25%,"$35,799.44",$33.03 M
